metric,mean,ci_lower,ci_upper,n_boot,confidence
advantage_single,0.5175565395057076,0.5131661935634604,0.5219028755326297,1000,0.95
advantage_sampled,0.48621287392215207,0.48387273942505077,0.4886830402264555,1000,0.95
advantage_doctrine_aware,0.4890180801549618,0.4864309240172333,0.49169867885047175,1000,0.95
advantage_llm,0.4960402501756129,0.4941692467747187,0.4979464683372612,1000,0.95
nash_gap_single,0.19754301547226422,0.18987015876164356,0.20589106664669302,1000,0.95
nash_gap_sampled,0.260230346639375,0.25573552270678895,0.2645521478871346,1000,0.95
nash_gap_doctrine_aware,0.2546199341737555,0.2495971817408064,0.2593581305482248,1000,0.95
nash_gap_llm,0.2405755941324534,0.23693969838473533,0.24454112736084968,1000,0.95
blue_doctrinal_alignment,0.8402934,0.8168333333333333,0.8627,1000,0.95
blue_path_optionality,0.09936,0.07,0.13333333333333333,1000,0.95
blue_vertex_parsimony,0.570656,0.5536296296296297,0.59,1000,0.95
blue_worldline_completion,0.0,0.0,0.0,1000,0.95
red_doctrinal_alignment_single,0.7301373,0.7053666666666667,0.7519666666666667,1000,0.95
red_doctrinal_alignment_sampled,0.7311004666666666,0.7082666666666667,0.7522333333333333,1000,0.95
red_doctrinal_alignment_doctrine_aware,0.7584835333333333,0.7368333333333333,0.7784333333333333,1000,0.95
red_doctrinal_alignment_llm,1.0,1.0,1.0,1000,0.95
candidate_diversity,0.6807155357142858,0.6672579365079365,0.6938809523809525,1000,0.95
candidate_quality_spread,0.2546834952655598,0.2472692519103501,0.2619238260666638,1000,0.95
n_pareto_optimal,2.1670933333333333,2.026666666666667,2.3,1000,0.95
selection_quality_regret,0.03628957694019825,0.029449229692345497,0.04434600808235937,1000,0.95
selection_doctrinal_gain,0.09864403333333334,0.08086666666666668,0.11620000000000003,1000,0.95
advantage_council,0.5094443179844931,0.5067635361094882,0.5121557717112251,1000,0.95
council_diversity,0.5696697206349206,0.5268761904761905,0.618247619047619,1000,0.95
council_revised_diversity,0.6303590476190476,0.6004761904761905,0.6612698412698412,1000,0.95
council_consensus_gap,0.0110888179043469,0.009354232126108227,0.012854096741840257,1000,0.95
council_adversarial_pressure,0.6171823470654032,0.6121405714327617,0.6220274994618226,1000,0.95
council_robustness_margin,0.012329095822871674,0.010127446411851445,0.014485689579249858,1000,0.95
council_pressure_reduction,0.0030314564851772444,-0.0019504171775732418,0.007610409920790754,1000,0.95
council_path_optionality,0.0,0.0,0.0,1000,0.95
council_vertex_parsimony,0.5,0.5,0.5,1000,0.95
council_worldline_completion,0.20679666666666666,0.1438888888888889,0.27111111111111114,1000,0.95
framing_sensitivity_delta,0.06555929999999999,0.049199999999999994,0.08579999999999999,1000,0.95
rubric_inter_rater_agreement,0.9778806851851852,0.9773333333333334,0.9783703703703704,1000,0.95
rubric_deviation_from_heuristic,0.011059657407407409,0.010819444444444446,0.011333333333333334,1000,0.95
