scenario_id,terrain_type,response_budget,gbc,red_quality,red_doctrinal_alignment,candidate_diversity,candidate_mef_spread,n_pareto_optimal
urban-100,urban,1,0.5507364141130886,0.06111696560372475,0.77,0.0,0.0,1
urban-100,urban,2,0.5507364141130886,0.06111696560372475,0.77,1.0,0.04592282545973197,1
urban-100,urban,4,0.5145448180411528,0.20588334989146792,0.59,0.888888888888889,0.19068920974747514,2
urban-100,urban,8,0.4918683219020556,0.2965893344478568,0.59,0.8273809523809524,0.281395194303864,3
urban-100,urban,16,0.4918683219020556,0.2965893344478568,0.59,0.7763888888888892,0.281395194303864,4
maritime-101,maritime,1,0.5358931427085027,0.08842742916598921,0.665,0.0,0.0,1
maritime-101,maritime,2,0.5089350123495754,0.19625995060169854,0.665,1.0,0.10783252143570933,1
maritime-101,maritime,4,0.5062479180444687,0.20700832782212533,0.62,0.6805555555555557,0.11858089865613612,2
maritime-101,maritime,8,0.4982241909488743,0.23910323620450263,0.76,0.7107142857142857,0.1838320003287931,1
maritime-101,maritime,16,0.4728117962654958,0.34075281493801685,0.76,0.6920833333333327,0.3122394037503015,2
multi-domain-102,mixed,1,0.535682567407545,0.08842742916598921,0.665,0.0,0.0,1
multi-domain-102,mixed,2,0.5087244370486177,0.19625995060169854,0.665,1.0,0.10783252143570933,1
multi-domain-102,mixed,4,0.5060373427435111,0.20700832782212533,0.62,0.6805555555555557,0.11858089865613612,2
multi-domain-102,mixed,8,0.4980136156479167,0.23910323620450263,0.76,0.7107142857142857,0.1838320003287931,1
multi-domain-102,mixed,16,0.47260122096453816,0.34075281493801685,0.76,0.6920833333333327,0.3122394037503015,2
air-defense-103,air_defense,1,0.5308651069359321,0.09853957225627163,0.71,0.0,0.0,1
air-defense-103,air_defense,2,0.5075575577180876,0.1917697691276496,0.85,1.0,0.09323019687137796,1
air-defense-103,air_defense,4,0.4821487133596686,0.29340514656132577,0.62,0.6111111111111112,0.19486557430505413,3
air-defense-103,air_defense,8,0.4821487133596686,0.29340514656132577,0.62,0.6291666666666667,0.19486557430505413,2
air-defense-103,air_defense,16,0.46910323198670645,0.34558707205317435,0.85,0.6456944444444441,0.3027489719994544,1
humanitarian-evacuation-104,urban_humanitarian,1,0.4779394334192493,0.28724226632300265,0.86,0.0,0.0,1
humanitarian-evacuation-104,urban_humanitarian,2,0.4779394334192493,0.28724226632300265,0.86,0.5,0.08023393850087732,1
humanitarian-evacuation-104,urban_humanitarian,4,0.47560266638803583,0.2965893344478568,0.815,0.6083333333333334,0.11841247398946614,2
humanitarian-evacuation-104,urban_humanitarian,8,0.47560266638803583,0.2965893344478568,0.815,0.6202380952380954,0.24467597641963326,3
humanitarian-evacuation-104,urban_humanitarian,16,0.47560266638803583,0.2965893344478568,0.815,0.5723611111111111,0.3040101518761822,4
urban-103,urban,1,0.5303264017389105,0.15557895460687152,0.91,0.0,0.0,1
urban-103,urban,2,0.5303264017389105,0.15557895460687152,0.91,0.6666666666666667,0.07123571454736538,1
urban-103,urban,4,0.49338848325072465,0.30333062855961496,0.725,0.638888888888889,0.21898738850010882,2
urban-103,urban,8,0.49338848325072465,0.30333062855961496,0.725,0.6726190476190477,0.21898738850010882,2
urban-103,urban,16,0.49241151493255897,0.30723850183227763,0.59,0.7361111111111113,0.24427287708715859,3
maritime-104,maritime,1,0.546264463987378,0.04694214405048766,0.805,0.0,0.0,1
maritime-104,maritime,2,0.4923906812308247,0.2624372750767012,0.625,0.5,0.21549513102621357,2
maritime-104,maritime,4,0.4923906812308247,0.2624372750767012,0.625,0.725,0.21549513102621357,2
maritime-104,maritime,8,0.4923906812308247,0.2624372750767012,0.625,0.7339285714285715,0.21549513102621357,2
maritime-104,maritime,16,0.4897212052388896,0.2731151790444414,0.575,0.6919444444444439,0.22617303499395372,3
