scenario_id,terrain_type,selected_blue_id,selected_red_id,selected_advantage,blue_doctrinal_alignment,red_doctrinal_alignment,path_optionality,vertex_parsimony,worldline_completion,council_diversity,revised_diversity,consensus_gap,adversarial_pressure,robustness_margin,pressure_reduction,n_blue_candidates,n_revised_candidates,selected_round,blue_wins
urban-100,urban,849afb46,fd77832a,0.5038528635141303,0.86,0.59,0.0,0.5,0.0,0.89,0.6666666666666667,0.0036186135172596723,0.646510622826341,0.0036186135172596723,-0.03895738583026076,5,2,1,True
maritime-101,maritime,9dfb3a42,9d2308b1,0.5085476790799853,1.0,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.025583557375220334,0.622384026435528,0.025583557375220334,-0.03454640297798206,5,2,1,True
multi-domain-102,mixed,ce976192,f0b8f18f,0.5076370878488125,0.77,1.0,0.0,0.5,1.0,0.9400000000000001,1.0,0.019968006483914724,0.6237840582959587,0.019968006483914724,-0.03960830033814189,5,2,1,False
air-defense-103,air_defense,2b13345f,c5abbf63,0.5356301693645233,0.86,0.815,0.0,0.5,0.0,0.3333333333333334,0.5,0.0027827776620588107,0.5507190458664523,0.0,0.03219857751828881,5,2,0,True
humanitarian-evacuation-104,urban_humanitarian,828491d9,dd45e767,0.5258812166656909,1.0,0.91,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.003867093370439001,0.5617993237535035,0.0,0.013763830919640618,5,2,0,True
urban-103,urban,eb9a9c04,78af3935,0.5256465864177433,1.0,1.0,0.0,0.5,0.0,0.89,0.6666666666666667,0.006830290853928056,0.6218348597468617,0.006830290853928056,-0.027679879743133906,5,2,1,True
maritime-104,maritime,4552b3f6,89be0228,0.5218378255106457,0.86,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.029281597818967997,0.5880478740061645,0.029281597818967997,0.02358651157647218,5,2,1,True
multi-domain-105,mixed,03477dba,f40cb1f2,0.5322676772627004,0.9550000000000001,0.9550000000000001,0.0,0.5,1.0,0.9400000000000001,1.0,0.0451308214177924,0.6158009678936694,0.0451308214177924,-0.027320645673435617,5,2,1,True
air-defense-106,air_defense,c402128a,c549b097,0.49262729793074433,1.0,0.9550000000000001,0.0,0.5,0.0,0.3333333333333334,0.5,0.004257276700056711,0.6414689291659674,0.004257276700056711,-0.004657631778319571,5,2,1,False
humanitarian-evacuation-107,urban_humanitarian,6032fbc6,3d5e1528,0.5102944814125642,1.0,0.815,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.004233880341231899,0.6032555113192493,0.004233880341231899,-0.01130293952003647,5,2,1,True
