scenario_id,terrain_type,framing,gbc_single,gbc_sampled,gbc_doctrine_aware,nash_gap_single,nash_gap_sampled,nash_gap_doctrine_aware,blue_doctrinal_alignment,blue_path_optionality,blue_vertex_parsimony,blue_worldline_completion,red_doctrinal_alignment_single,red_doctrinal_alignment_sampled,red_doctrinal_alignment_doctrine_aware,candidate_diversity,candidate_mef_spread,n_pareto_optimal,selection_quality_regret,selection_doctrinal_gain,selection_changed,blue_wins_single,blue_wins_sampled,blue_wins_doctrine_aware,gbc_council,blue_wins_council,council_diversity,council_revised_diversity,council_consensus_gap,council_adversarial_pressure,council_robustness_margin,council_pressure_reduction,council_selected_round,council_path_optionality,council_vertex_parsimony,council_worldline_completion
urban-100,urban,blue,0.5507364141130886,0.4918683219020556,0.4918683219020556,0.1625897938299019,0.2803259782519678,0.2803259782519678,1.0,0.5,0.8,0.0,0.77,0.59,0.59,0.8273809523809524,0.281395194303864,3,0.0031841878865310203,0.135,True,True,True,True,0.5038528635141303,True,0.89,0.6666666666666667,0.0036186135172596723,0.646510622826341,0.0036186135172596723,-0.03895738583026076,1,0.0,0.5,0.0
maritime-101,maritime,neutral,0.5358931427085027,0.4982241909488743,0.49923624343920237,0.16021371458299472,0.23555161810225123,0.23352751312159503,0.815,0.0,0.5,0.0,0.665,0.76,0.665,0.7107142857142857,0.1838320003287931,1,0.0,0.0,False,True,True,True,0.5085476790799853,True,0.39999999999999997,0.5714285714285714,0.025583557375220334,0.622384026435528,0.025583557375220334,-0.03454640297798206,1,0.0,0.5,0.0
multi-domain-102,mixed,adversary,0.535682567407545,0.4980136156479167,0.4990256681382448,0.15979256398107933,0.23513046750033606,0.23310636251967987,0.725,0.0,0.5,0.0,0.665,0.76,0.665,0.7107142857142857,0.1838320003287931,1,0.0,0.0,False,True,False,False,0.5076370878488125,False,0.9400000000000001,1.0,0.019968006483914724,0.6237840582959587,0.019968006483914724,-0.03960830033814189,1,0.0,0.5,1.0
air-defense-103,air_defense,adversary,0.5308651069359321,0.4821487133596686,0.48897052906784055,0.16026978612813592,0.2577025732806628,0.24405894186431887,0.665,0.0,0.5,0.0,0.71,0.62,0.85,0.6291666666666667,0.19486557430505413,2,0.02728726283268801,0.22999999999999998,True,True,True,False,0.5356301693645233,True,0.3333333333333334,0.5,0.0027827776620588107,0.5507190458664523,0.0,0.03219857751828881,0,0.0,0.5,0.0
humanitarian-evacuation-104,urban_humanitarian,blue,0.4779394334192493,0.47560266638803583,0.4779394334192493,0.2431211331615013,0.2477946672239284,0.2431211331615013,1.0,0.0,0.5555555555555556,0.0,0.86,0.815,0.86,0.6202380952380954,0.24467597641963326,3,0.03301623013179261,0.14000000000000012,True,True,True,True,0.5258812166656909,True,0.28571428571428564,0.4444444444444444,0.003867093370439001,0.5617993237535035,0.0,0.013763830919640618,0,0.0,0.5,0.0
urban-103,urban,blue,0.5303264017389105,0.49338848325072465,0.5090858362616068,0.21623175808469242,0.2901075950610643,0.2587128890393,1.0,0.5,0.8,0.0,0.91,0.725,0.91,0.6726190476190477,0.21898738850010882,2,0.06278941204352842,0.18500000000000005,True,True,True,True,0.5256465864177433,True,0.89,0.6666666666666667,0.006830290853928056,0.6218348597468617,0.006830290853928056,-0.027679879743133906,1,0.0,0.5,0.0
maritime-104,maritime,neutral,0.546264463987378,0.4923906812308247,0.4923906812308247,0.1394710720252439,0.24721863753835072,0.24721863753835072,0.815,0.0,0.5,0.0,0.805,0.625,0.625,0.7339285714285715,0.21549513102621357,2,0.042802796311250835,0.18000000000000005,True,True,True,True,0.5218378255106457,True,0.39999999999999997,0.5714285714285714,0.029281597818967997,0.5880478740061645,0.029281597818967997,0.02358651157647218,1,0.0,0.5,0.0
multi-domain-105,mixed,adversary,0.5705708626831852,0.5166970799266318,0.5166970799266318,0.18808386941685806,0.2958314349299649,0.2958314349299649,0.725,0.0,0.5,0.0,0.805,0.625,0.625,0.7339285714285715,0.21549513102621357,2,0.042802796311250835,0.18000000000000005,True,True,True,True,0.5322676772627004,True,0.9400000000000001,1.0,0.0451308214177924,0.6158009678936694,0.0451308214177924,-0.027320645673435617,1,0.0,0.5,1.0
air-defense-106,air_defense,adversary,0.5315438389651093,0.4855634144356031,0.4855634144356031,0.15891232206978145,0.2508731711287939,0.2508731711287939,0.665,0.0,0.5,0.0,0.805,0.665,0.665,0.661309523809524,0.21680978252819927,3,0.0017319079018335848,0.14,True,False,False,False,0.49262729793074433,False,0.3333333333333334,0.5,0.004257276700056711,0.6414689291659674,0.004257276700056711,-0.004657631778319571,1,0.0,0.5,0.0
humanitarian-evacuation-107,urban_humanitarian,blue,0.5286641899851234,0.4743005071834755,0.4743005071834755,0.14167162002975298,0.2503989856330491,0.2503989856330491,1.0,0.0,0.5555555555555556,0.0,0.9550000000000001,1.0,1.0,0.5696428571428571,0.22606536229122892,1,0.0,0.0,False,True,True,True,0.5102944814125642,True,0.28571428571428564,0.4444444444444444,0.004233880341231899,0.6032555113192493,0.004233880341231899,-0.01130293952003647,1,0.0,0.5,0.0
urban-106,urban,blue,0.45318073820573,0.45318073820573,0.45318073820573,0.18115539416062165,0.18115539416062165,0.18115539416062165,1.0,0.5,0.8,0.0,0.59,0.59,0.59,0.8035714285714285,0.2355621400266791,3,0.1779494044493161,0.32000000000000006,True,True,True,True,0.4742078717272398,True,0.89,1.0,0.021547793741268084,0.6234736402998828,0.021547793741268084,-0.004298439478688576,1,0.0,0.5,0.0
maritime-107,maritime,neutral,0.4952828766725861,0.48070857359244695,0.48070857359244695,0.24143424665482782,0.2705828528151062,0.2705828528151062,0.815,0.0,0.5,0.0,0.625,0.625,0.625,0.6744047619047618,0.24040693697495852,2,0.10870653085176807,0.18000000000000005,True,True,True,True,0.513370579277663,True,0.39999999999999997,0.5714285714285714,0.03649421280614573,0.6140738936123097,0.03649421280614573,0.013236161468199503,1,0.0,0.5,0.0
multi-domain-108,mixed,adversary,0.4763411795758823,0.4617668764957432,0.4617668764957432,0.20355085246142024,0.2326994586216986,0.2326994586216986,0.725,0.0,0.5,0.0,0.625,0.625,0.625,0.6744047619047618,0.24040693697495852,2,0.10870653085176807,0.18000000000000005,True,False,False,False,0.48296299059496756,False,0.9400000000000001,1.0,0.006166873233482528,0.637005676784293,0.014356845069264268,-0.0009710458747907991,1,0.0,0.5,1.0
air-defense-109,air_defense,adversary,0.531471596935656,0.49148785526514815,0.49148785526514815,0.1590568061286879,0.23902428946970367,0.23902428946970367,0.665,0.0,0.5,0.0,0.805,0.85,0.85,0.6297619047619047,0.22523568799686566,1,0.0,0.0,False,True,True,True,0.5048704141034439,True,0.3333333333333334,0.5,0.0030908103819456967,0.6260742239607479,0.0030908103819456967,0.014212708531695095,1,0.0,0.5,0.0
humanitarian-evacuation-110,urban_humanitarian,blue,0.5382796830566138,0.48846337456137134,0.4954488621715337,0.12244063388677251,0.22207325087725738,0.20810227565693262,1.0,0.0,0.5555555555555556,0.0,0.8200000000000001,0.9550000000000001,1.0,0.48214285714285715,0.21397853764576064,2,0.027941950440649593,0.04499999999999993,True,True,True,True,0.5266206141179136,True,0.28571428571428564,0.4444444444444444,0.007832631873197271,0.5644190277601101,0.0,0.013005725376153854,0,0.0,0.5,0.0
urban-109,urban,blue,0.5533363439186157,0.5065824492874084,0.5065824492874084,0.1785276664420592,0.27203545570447374,0.27203545570447374,1.0,0.5,0.8,0.0,0.77,0.59,0.59,0.761904761904762,0.2069159991463836,4,0.061201371592689346,0.32000000000000006,True,True,True,True,0.5091526472239135,True,0.89,0.6666666666666667,0.007266110319576469,0.6484886282709063,0.013604168778112935,0.0019873011922445505,1,0.0,0.5,0.0
