scenario_id,terrain_type,selected_blue_id,selected_red_id,selected_advantage,blue_doctrinal_alignment,red_doctrinal_alignment,path_optionality,vertex_parsimony,worldline_completion,council_diversity,revised_diversity,consensus_gap,adversarial_pressure,robustness_margin,pressure_reduction,n_blue_candidates,n_revised_candidates,selected_round,blue_wins
urban-100,urban,ceb3d7ad,3d688120,0.5038528635141303,0.86,0.59,0.0,0.5,0.0,0.89,0.6666666666666667,0.0036186135172596723,0.646510622826341,0.0036186135172596723,-0.03895738583026076,5,2,1,True
maritime-101,maritime,eb6ea73a,fbd0b549,0.5085476790799853,1.0,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.025583557375220334,0.622384026435528,0.025583557375220334,-0.03454640297798206,5,2,1,True
multi-domain-102,mixed,05b517d5,27b2bb6a,0.5076370878488125,0.77,1.0,0.0,0.5,1.0,0.9400000000000001,1.0,0.019968006483914724,0.6237840582959587,0.019968006483914724,-0.03960830033814189,5,2,1,False
air-defense-103,air_defense,c322b9d9,ed8a3bab,0.5356301693645233,0.86,0.815,0.0,0.5,0.0,0.3333333333333334,0.5,0.0027827776620588107,0.5507190458664523,0.0,0.03219857751828881,5,2,0,True
humanitarian-evacuation-104,urban_humanitarian,f3e69588,57717c9b,0.5258812166656909,1.0,0.91,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.003867093370439001,0.5617993237535035,0.0,0.013763830919640618,5,2,0,True
urban-103,urban,a04758f5,37c1277a,0.5256465864177433,1.0,1.0,0.0,0.5,0.0,0.89,0.6666666666666667,0.006830290853928056,0.6218348597468617,0.006830290853928056,-0.027679879743133906,5,2,1,True
maritime-104,maritime,82aa3622,c567ec89,0.5218378255106457,0.86,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.029281597818967997,0.5880478740061645,0.029281597818967997,0.02358651157647218,5,2,1,True
multi-domain-105,mixed,39f56933,72fd302d,0.5322676772627004,0.9550000000000001,0.9550000000000001,0.0,0.5,1.0,0.9400000000000001,1.0,0.0451308214177924,0.6158009678936694,0.0451308214177924,-0.027320645673435617,5,2,1,True
air-defense-106,air_defense,027a6257,0e5204a5,0.49262729793074433,1.0,0.9550000000000001,0.0,0.5,0.0,0.3333333333333334,0.5,0.004257276700056711,0.6414689291659674,0.004257276700056711,-0.004657631778319571,5,2,1,False
humanitarian-evacuation-107,urban_humanitarian,8ebb1920,7b9e90e2,0.5102944814125642,1.0,0.815,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.004233880341231899,0.6032555113192493,0.004233880341231899,-0.01130293952003647,5,2,1,True
urban-106,urban,3dc64464,d9fb298f,0.4742078717272398,0.9550000000000001,0.91,0.0,0.5,0.0,0.89,1.0,0.021547793741268084,0.6234736402998828,0.021547793741268084,-0.004298439478688576,5,2,1,True
maritime-107,maritime,cd43c3f4,623998a5,0.513370579277663,0.86,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.03649421280614573,0.6140738936123097,0.03649421280614573,0.013236161468199503,5,2,1,True
multi-domain-108,mixed,75f9fdf5,257e45c4,0.48296299059496756,0.77,0.815,0.0,0.5,1.0,0.9400000000000001,1.0,0.006166873233482528,0.637005676784293,0.014356845069264268,-0.0009710458747907991,5,2,1,False
air-defense-109,air_defense,fa5a2d27,0ae00187,0.5048704141034439,1.0,0.815,0.0,0.5,0.0,0.3333333333333334,0.5,0.0030908103819456967,0.6260742239607479,0.0030908103819456967,0.014212708531695095,5,2,1,True
humanitarian-evacuation-110,urban_humanitarian,e77ae945,4aa6f5a0,0.5266206141179136,1.0,0.635,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.007832631873197271,0.5644190277601101,0.0,0.013005725376153854,5,2,0,True
urban-109,urban,8d030ebd,dfcfa3bb,0.5091526472239135,1.0,0.9550000000000001,0.0,0.5,0.0,0.89,0.6666666666666667,0.007266110319576469,0.6484886282709063,0.013604168778112935,0.0019873011922445505,5,2,1,True
maritime-110,maritime,e46e518e,3969f066,0.4973575474600868,0.815,0.815,0.0,0.5,0.3333333333333333,0.39999999999999997,0.5714285714285714,0.0017216572633852456,0.6413181275351387,0.004872148264751575,-0.02752649787821282,5,2,1,True
multi-domain-111,mixed,e3d73ff4,b6f730b9,0.5343920937729055,0.77,0.9550000000000001,0.0,0.5,1.0,0.9400000000000001,1.0,0.021571042160702047,0.6104470648138002,0.021571042160702047,-0.012903255587190854,5,2,1,False
air-defense-112,air_defense,df61ce89,75510b97,0.5000961339445436,1.0,0.815,0.0,0.5,0.0,0.3333333333333334,0.5,0.009120938526475886,0.6308409545662252,0.009120938526475886,0.01046926048894603,5,2,1,False
humanitarian-evacuation-113,urban_humanitarian,e2db7737,67bc4a00,0.5270100207865628,1.0,1.0,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.003769683890866349,0.5571737040059624,0.0,0.009644078642171316,5,2,0,True
urban-112,urban,3cf90cd9,e95c4df5,0.49240910342984767,1.0,0.815,0.0,0.5,0.0,0.89,0.6666666666666667,0.0025304460370889625,0.6553523532166361,0.0025304460370889625,-0.01879022865285984,5,2,1,True
maritime-113,maritime,de66c72e,659494c1,0.5083278571501132,1.0,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.023206879221187637,0.6253782246092016,0.023206879221187637,-0.008681460972370325,5,2,1,True
