scenario_id,terrain_type,selected_blue_id,selected_red_id,selected_advantage,blue_doctrinal_alignment,red_doctrinal_alignment,path_optionality,vertex_parsimony,worldline_completion,council_diversity,revised_diversity,consensus_gap,adversarial_pressure,robustness_margin,pressure_reduction,n_blue_candidates,n_revised_candidates,selected_round,blue_wins
urban-100,urban,628313ba,fc7ae23f,0.5038528635141303,0.86,0.59,0.0,0.5,0.0,0.89,0.6666666666666667,0.0036186135172596723,0.646510622826341,0.0036186135172596723,-0.03895738583026076,5,2,1,True
maritime-101,maritime,0325aef7,190ab83b,0.5085476790799853,1.0,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.025583557375220334,0.622384026435528,0.025583557375220334,-0.03454640297798206,5,2,1,True
multi-domain-102,mixed,f3c185eb,04d1720c,0.5076370878488125,0.77,1.0,0.0,0.5,1.0,0.9400000000000001,1.0,0.019968006483914724,0.6237840582959587,0.019968006483914724,-0.03960830033814189,5,2,1,False
air-defense-103,air_defense,9049dcbc,1bf7027a,0.5356301693645233,0.86,0.815,0.0,0.5,0.0,0.3333333333333334,0.5,0.0027827776620588107,0.5507190458664523,0.0,0.03219857751828881,5,2,0,True
humanitarian-evacuation-104,urban_humanitarian,bf5f73ab,d06aad99,0.5258812166656909,1.0,0.91,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.003867093370439001,0.5617993237535035,0.0,0.013763830919640618,5,2,0,True
urban-103,urban,09d9cca5,840659d7,0.5256465864177433,1.0,1.0,0.0,0.5,0.0,0.89,0.6666666666666667,0.006830290853928056,0.6218348597468617,0.006830290853928056,-0.027679879743133906,5,2,1,True
maritime-104,maritime,22e73594,c65ebcca,0.5218378255106457,0.86,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.029281597818967997,0.5880478740061645,0.029281597818967997,0.02358651157647218,5,2,1,True
multi-domain-105,mixed,2a381653,9ac0e23b,0.5322676772627004,0.9550000000000001,0.9550000000000001,0.0,0.5,1.0,0.9400000000000001,1.0,0.0451308214177924,0.6158009678936694,0.0451308214177924,-0.027320645673435617,5,2,1,True
air-defense-106,air_defense,9e066992,c630a6cf,0.49262729793074433,1.0,0.9550000000000001,0.0,0.5,0.0,0.3333333333333334,0.5,0.004257276700056711,0.6414689291659674,0.004257276700056711,-0.004657631778319571,5,2,1,False
humanitarian-evacuation-107,urban_humanitarian,554a9125,59e549fb,0.5102944814125642,1.0,0.815,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.004233880341231899,0.6032555113192493,0.004233880341231899,-0.01130293952003647,5,2,1,True
urban-106,urban,be08332b,c78dc3a8,0.4742078717272398,0.9550000000000001,0.91,0.0,0.5,0.0,0.89,1.0,0.021547793741268084,0.6234736402998828,0.021547793741268084,-0.004298439478688576,5,2,1,True
maritime-107,maritime,00e56ce3,2b5a781f,0.513370579277663,0.86,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.03649421280614573,0.6140738936123097,0.03649421280614573,0.013236161468199503,5,2,1,True
multi-domain-108,mixed,03f8e7ce,de735fb0,0.48296299059496756,0.77,0.815,0.0,0.5,1.0,0.9400000000000001,1.0,0.006166873233482528,0.637005676784293,0.014356845069264268,-0.0009710458747907991,5,2,1,False
air-defense-109,air_defense,994844b7,38260613,0.5048704141034439,1.0,0.815,0.0,0.5,0.0,0.3333333333333334,0.5,0.0030908103819456967,0.6260742239607479,0.0030908103819456967,0.014212708531695095,5,2,1,True
humanitarian-evacuation-110,urban_humanitarian,0dd65761,969fb76f,0.5266206141179136,1.0,0.635,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.007832631873197271,0.5644190277601101,0.0,0.013005725376153854,5,2,0,True
urban-109,urban,f343eddf,1e49fe4d,0.5091526472239135,1.0,0.9550000000000001,0.0,0.5,0.0,0.89,0.6666666666666667,0.007266110319576469,0.6484886282709063,0.013604168778112935,0.0019873011922445505,5,2,1,True
maritime-110,maritime,08a202ad,c1742b1d,0.4973575474600868,0.815,0.815,0.0,0.5,0.3333333333333333,0.39999999999999997,0.5714285714285714,0.0017216572633852456,0.6413181275351387,0.004872148264751575,-0.02752649787821282,5,2,1,True
multi-domain-111,mixed,527f8112,3f2941e1,0.5343920937729055,0.77,0.9550000000000001,0.0,0.5,1.0,0.9400000000000001,1.0,0.021571042160702047,0.6104470648138002,0.021571042160702047,-0.012903255587190854,5,2,1,False
air-defense-112,air_defense,26c6f694,6c8d4df9,0.5000961339445436,1.0,0.815,0.0,0.5,0.0,0.3333333333333334,0.5,0.009120938526475886,0.6308409545662252,0.009120938526475886,0.01046926048894603,5,2,1,False
humanitarian-evacuation-113,urban_humanitarian,4a0114e4,9639591d,0.5270100207865628,1.0,1.0,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.003769683890866349,0.5571737040059624,0.0,0.009644078642171316,5,2,0,True
urban-112,urban,6cbc423a,fda88e79,0.49240910342984767,1.0,0.815,0.0,0.5,0.0,0.89,0.6666666666666667,0.0025304460370889625,0.6553523532166361,0.0025304460370889625,-0.01879022865285984,5,2,1,True
maritime-113,maritime,b614cb76,ce620bac,0.5083278571501132,1.0,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.023206879221187637,0.6253782246092016,0.023206879221187637,-0.008681460972370325,5,2,1,True
multi-domain-114,mixed,ae8ece8a,6d2a9495,0.5256032137775342,0.77,0.77,0.0,0.5,1.0,0.9400000000000001,1.0,0.0034836808592008106,0.5981015530152816,0.0341478354470196,0.04984908343497252,5,2,1,True
air-defense-115,air_defense,3c9ef4e8,cbb13556,0.4917161908049634,1.0,1.0,0.0,0.5,0.0,0.3333333333333334,0.5,0.0001741907477282867,0.6536015572995011,0.0001741907477282867,-0.0416066438549727,5,2,1,True
humanitarian-evacuation-116,urban_humanitarian,c6992d95,0654313c,0.5133988420247702,1.0,1.0,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.012236111516117254,0.5999210154615592,0.013764105304113206,0.04376864178354001,5,2,1,True
urban-115,urban,35b47d49,dc4ba484,0.5003496756964607,1.0,0.73,0.0,0.5,0.0,0.89,0.6666666666666667,0.018076132715712512,0.6251686186423615,0.018076132715712512,0.02672040961195221,5,2,1,True
maritime-116,maritime,0e01829f,e3a122d6,0.5068744178202005,0.815,1.0,0.0,0.5,0.0,0.39999999999999997,0.5714285714285714,0.008386408491985686,0.6260657238870333,0.008386408491985686,-0.025805537750036467,5,2,1,True
multi-domain-117,mixed,a3380330,ca98199a,0.5297531361026719,0.9550000000000001,1.0,0.0,0.5,1.0,0.9400000000000001,1.0,0.030047708508729176,0.5956582781689226,0.05354912691821717,0.014719700033920202,5,2,1,True
air-defense-118,air_defense,6e428d73,819b6c0e,0.5200324140446203,1.0,1.0,0.0,0.5,0.0,0.3333333333333334,0.5,0.010925705152912746,0.5947497314381935,0.010925705152912746,0.0476182563392028,5,2,1,False
humanitarian-evacuation-119,urban_humanitarian,8a59424b,305aa61c,0.4892120925956171,1.0,1.0,0.0,0.5,0.0,0.28571428571428564,0.4444444444444444,0.0033878371023680076,0.6545143504338711,0.0033878371023680076,-0.013283924333644448,5,2,1,True
urban-118,urban,bb9c1040,2b5bff8f,0.5140797680825506,0.9550000000000001,0.77,0.0,0.5,0.0,0.89,0.6666666666666667,0.005133181569945411,0.5581724267257802,0.0,0.025467420641535732,5,2,0,True
maritime-119,maritime,e276b4ee,658cdf2a,0.5032649197579983,0.815,0.86,0.0,0.5,0.3333333333333333,0.39999999999999997,0.5714285714285714,0.010751403988166486,0.6334910090582682,0.010751403988166486,-0.03173219555408391,5,2,1,True
